32, 27, 23, 14, 41, 54, 76, 71, 97, 110
37, 29, 29, 28, 56, 80, 89, 68, 69, 41
8, 7, 5, 11, 10, 23, 32, 16, 9, 17
13, 4, 9, 18, 19, 38, 38, 27, 39, 20
28, 27, 17, 16, 30, 30, 36, 18, 32, 7
15, 16, 15, 15, 18, 47, 51, 35, 30, 21
45, 36, 23, 25, 65, 82, 136, 77, 60, 55
39, 43, 33, 31, 85, 123, 128, 95, 82, 51
8, 11, 9, 12, 24, 30, 43, 42, 53, 57
163, 93, 84, 105, 205, 234, 323, 245, 260, 221
50, 40, 40, 37, 57, 72, 105, 43, 61, 29
69, 54, 36, 52, 101, 129, 165, 91, 88, 73
14, 6, 14, 12, 24, 20, 33, 22, 44, 17
18, 15, 19, 19, 30, 32, 52, 29, 23, 19
27, 13, 16, 16, 37, 29, 45, 27, 31, 25
27, 8, 11, 9, 27, 25, 31, 32, 42, 51
18, 14, 8, 8, 19, 33, 42, 17, 25, 20
9, 9, 6, 11, 13, 14, 20, 11, 11, 7
18, 23, 20, 14, 50, 45, 57, 44, 34, 25
25, 10, 8, 13, 16, 24, 57, 38, 36, 10
22, 16, 21, 16, 28, 43, 43, 29, 27, 10
32, 22, 31, 17, 34, 45, 71, 51, 53, 24
26, 22, 19, 10, 30, 24, 40, 33, 32, 41
10, 6, 9, 5, 10, 19, 28, 13, 13, 10
46, 20, 34, 21, 64, 53, 83, 58, 49, 40
20, 17, 16, 28, 31, 47, 56, 23, 34, 17
34, 10, 19, 16, 39, 45, 69, 31, 37, 68
17, 10, 13, 12, 19, 32, 34, 18, 24, 17
34, 22, 23, 16, 32, 51, 48, 35, 31, 35
110, 67, 80, 83, 133, 208, 233, 168, 184, 168
32, 16, 18, 15, 39, 52, 85, 66, 92, 66
37, 31, 20, 25, 45, 82, 91, 65, 43, 32
18, 10, 17, 10, 13, 28, 40, 27, 35, 45
32, 16, 17, 13, 32, 36, 45, 26, 39, 15
19, 30, 20, 16, 31, 40, 56, 37, 33, 23
12, 22, 18, 13, 30, 38, 37, 33, 32, 20
45, 26, 19, 31, 51, 97, 142, 118, 123, 150
8, 5, 7, 5, 14, 16, 26, 13, 13, 8
209, 201, 172, 146, 319, 422, 509, 432, 442, 378
10, 4, 3, 4, 14, 14, 24, 13, 14, 5
21, 8, 11, 11, 16, 32, 35, 19, 20, 5
103, 77, 66, 71, 145, 210, 249, 167, 204, 119
44, 19, 21, 22, 43, 50, 77, 29, 31, 24
26, 19, 21, 13, 33, 63, 65, 48, 51, 27
98, 64, 50, 50, 70, 129, 142, 82, 75, 68
30, 30, 33, 31, 43, 61, 52, 36, 43, 20
25, 14, 15, 9, 34, 30, 70, 35, 41, 32
64, 45, 29, 32, 68, 47, 87, 80, 96, 188
10, 2, 7, 3, 17, 22, 29, 9, 13, 11
22, 16, 12, 17, 35, 32, 49, 44, 33, 25
45, 33, 37, 26, 80, 112, 165, 136, 168, 193
57, 44, 45, 54, 99, 124, 157, 97, 95, 56
28, 12, 15, 10, 13, 17, 15, 12, 14, 12
84, 56, 36, 42, 46, 75, 100, 54, 55, 32
36, 29, 25, 29, 39, 51, 68, 47, 32, 28
25, 28, 22, 35, 38, 55, 68, 48, 51, 31
19, 13, 11, 18, 23, 25, 29, 21, 27, 19
36, 38, 32, 41, 84, 86, 108, 93, 108, 57
41, 31, 30, 22, 32, 67, 101, 72, 80, 41
61, 49, 37, 52, 107, 136, 178, 157, 166, 133
16, 19, 12, 14, 25, 26, 50, 35, 59, 89
10, 12, 11, 9, 29, 30, 36, 27, 27, 24
27, 17, 21, 19, 40, 48, 89, 80, 105, 163
9, 16, 7, 13, 19, 26, 33, 26, 34, 9
29, 12, 18, 19, 46, 56, 54, 40, 41, 28
22, 14, 13, 20, 40, 56, 89, 42, 48, 59
36, 19, 15, 12, 25, 34, 40, 32, 37, 38
42, 22, 39, 33, 63, 82, 113, 80, 114, 71
28, 22, 20, 19, 41, 57, 69, 47, 57, 51
27, 16, 16, 16, 26, 32, 51, 23, 22, 12
3, 3, 3, 2, 14, 19, 43, 29, 25, 23
18, 15, 9, 12, 32, 43, 67, 49, 54, 49
91, 41, 42, 42, 80, 98, 92, 85, 57, 42
8, 9, 5, 4, 4, 8, 8, 7, 13, 1

6, 11, 9, 9, 9, 10, 18, 25, 19, 9
49, 32, 40, 45, 55, 81, 58, 84, 55, 26
26, 23, 31, 22, 47, 58, 55, 81, 46, 17
7, 10, 11, 23, 26, 48, 32, 38, 27, 6
20, 12, 12, 17, 17, 31, 34, 43, 29, 10
10, 11, 12, 23, 30, 51, 29, 40, 26, 8
7, 8, 6, 12, 27, 38, 19, 40, 19, 8
22, 9, 15, 9, 20, 33, 23, 36, 20, 11
15, 12, 11, 17, 16, 52, 35, 41, 27, 7
29, 18, 29, 28, 39, 62, 62, 72, 32, 16
40, 27, 32, 33, 52, 79, 52, 80, 57, 20
17, 20, 11, 15, 32, 41, 27, 44, 27, 9
17, 19, 21, 28, 36, 57, 37, 69, 32, 19
26, 20, 19, 20, 34, 50, 39, 48, 27, 11
6, 5, 11, 20, 29, 45, 32, 42, 26, 9
22, 11, 12, 17, 25, 26, 34, 32, 42, 14
19, 15, 20, 27, 30, 48, 38, 49, 33, 7
24, 8, 22, 24, 24, 41, 25, 39, 17, 8
6, 3, 3, 12, 10, 30, 10, 24, 21, 5
12, 6, 11, 18, 35, 50, 31, 48, 21, 10
4, 10, 10, 14, 18, 29, 24, 37, 22, 10
52, 48, 59, 68, 66, 136, 92, 111, 80, 30
11, 15, 14, 16, 25, 38, 32, 45, 29, 5
32, 22, 20, 36, 39, 60, 48, 66, 36, 13
37, 18, 41, 29, 39, 52, 50, 68, 42, 26
22, 10, 19, 23, 17, 40, 29, 38, 26, 6
14, 10, 16, 22, 23, 58, 30, 34, 34, 9
10, 16, 16, 27, 20, 46, 31, 36, 33, 16
22, 22, 28, 45, 45, 53, 39, 49, 40, 13
15, 9, 16, 14, 27, 41, 30, 37, 26, 6
15, 8, 12, 22, 20, 43, 33, 47, 31, 11
5, 3, 3, 7, 9, 15, 22, 20, 13, 11
2, 3, 3, 8, 9, 10, 13, 14, 13, 4
19, 22, 25, 34, 33, 61, 43, 69, 29, 9
21, 14, 25, 31, 32, 57, 43, 56, 38, 18
20, 6, 12, 10, 26, 29, 26, 35, 17, 10
286, 235, 233, 297, 374, 490, 413, 490, 351, 147
13, 14, 15, 30, 42, 45, 40, 54, 36, 3
12, 19, 12, 15, 21, 37, 41, 47, 30, 10
11, 11, 12, 16, 30, 40, 29, 33, 24, 6
38, 28, 25, 28, 33, 59, 46, 53, 31, 10
13, 6, 17, 11, 20, 34, 22, 36, 24, 7
39, 30, 25, 26, 36, 67, 47, 52, 40, 19
15, 13, 25, 22, 29, 35, 44, 37, 31, 13
2, 0, 1, 2, 2, 3, 6, 6, 3, 0
16, 23, 30, 35, 37, 79, 45, 57, 29, 13
29, 15, 17, 16, 32, 53, 35, 54, 27, 14
12, 10, 6, 10, 15, 13, 17, 20, 17, 9
6, 7, 7, 15, 17, 31, 21, 27, 13, 6
13, 19, 26, 27, 38, 59, 42, 49, 26, 11
7, 9, 14, 8, 11, 22, 26, 35, 21, 9
7, 5, 8, 14, 15, 33, 31, 43, 26, 7
0, 1, 2, 1, 2, 6, 1, 8, 2, 2
19, 9, 15, 20, 25, 40, 20, 32, 24, 13
9, 13, 11, 21, 19, 34, 26, 26, 14, 4
0, 1, 1, 3, 9, 16, 10, 13, 8, 4
19, 13, 15, 31, 45, 69, 43, 69, 34, 17
14, 12, 9, 21, 21, 27, 18, 23, 22, 10
11, 11, 13, 16, 24, 24, 19, 36, 18, 7
18, 15, 16, 11, 16, 20, 31, 31, 23, 8
10, 9, 8, 11, 9, 15, 20, 23, 15, 12
12, 18, 19, 14, 14, 28, 30, 36, 28, 6
13, 13, 17, 20, 14, 23, 30, 18, 14, 6
12, 19, 14, 31, 40, 53, 38, 50, 30, 15
17, 16, 18, 20, 30, 53, 36, 46, 43, 10
22, 18, 29, 36, 34, 71, 32, 52, 39, 18
1, 0, 3, 1, 3, 9, 8, 8, 9, 3
12, 13, 16, 20, 31, 49, 22, 41, 31, 10
17, 5, 7, 10, 20, 29, 21, 37, 23, 5
16, 17, 21, 30, 39, 59, 41, 44, 29, 13
3, 6, 4, 7, 6, 8, 15, 21, 14, 1
19, 21, 18, 30, 25, 49, 30, 40, 29, 5
38, 19, 27, 32, 48, 86, 47, 53, 56, 18
9, 0, 7, 11, 18, 24, 22, 25, 16, 9
