0,-23,23,544,376,294,99,-564,-617,-107,-1095,-189,-711,407,395,286,336,390,471,118,194,-207,162,183,545,198,222,415,684,728,-916,192,-150,762,698,787,-135,-104,357,-2391,21,626,-1398,216,284,48,89,23,-108,-18,300,-27,-22,473,148,-282,538,313,-619,-296,-659,-190,167,-347,-46,-130,-170,-187,-486,-259,-90,11,-222,-300,-58
1,50,2,442,371,458,134,-535,-597,-38,-946,303,-684,213,328,347,223,283,477,193,206,-172,146,397,521,148,144,424,595,498,-946,29,-93,910,691,616,-144,113,238,-2434,61,784,-1196,246,346,25,119,101,-368,-94,329,-46,-261,477,26,-305,526,283,-523,-425,-491,-105,-16,-180,28,-220,-245,-61,-456,-366,-190,-55,-230,-399,-30
2,27,-84,294,420,415,104,-540,-631,51,-1255,310,-731,415,551,431,257,419,583,140,53,-163,204,109,353,213,114,417,718,379,-869,97,-42,718,699,641,-176,-352,258,-2358,22,714,-1254,228,114,-173,426,-33,-268,-41,309,31,-40,522,181,-195,405,379,-478,-331,-608,-108,67,-311,-123,-56,-171,24,-548,-398,-76,-3,-153,-189,-54
3,53,-74,204,417,209,61,-490,-649,-91,-1302,147,-735,511,412,345,326,452,409,409,278,-208,184,165,411,247,322,439,756,643,-749,158,-195,605,698,792,-106,-154,186,-2450,38,745,-1180,253,213,38,254,75,-233,-70,207,306,-255,446,-97,-222,356,320,-562,-265,-657,-17,-17,-334,-67,-179,-142,-53,-538,-340,-72,130,-298,-373,-46
4,-48,-128,436,175,215,32,-516,-619,-199,-1144,145,-679,318,565,290,234,351,496,117,278,-233,166,358,295,169,160,466,821,548,-898,323,-13,790,779,575,-64,-258,347,-2581,21,932,-1292,63,161,7,101,141,-220,-66,292,257,105,449,152,-325,375,283,-470,-335,-604,-9,77,-188,-7,-132,-167,-129,-559,-378,-91,-1,-168,-275,-69
5,-20,-151,324,423,232,178,-592,-591,-135,-964,354,-705,413,509,249,313,495,523,137,127,-187,251,180,542,109,250,505,575,638,-945,128,-136,677,414,651,-122,-82,277,-2272,44,689,-1156,207,198,-88,327,24,-183,-73,395,-9,-121,543,64,-259,440,403,-580,-367,-617,-159,114,-265,-62,-71,-87,-187,-529,-346,-167,-38,-285,-342,-29
6,152,-78,180,263,432,-13,-503,-502,-124,-1087,76,-570,442,579,280,275,408,427,285,329,-174,189,244,499,172,259,340,712,497,-811,73,-63,573,574,449,-120,-293,228,-2240,-2,622,-1129,263,198,-203,113,169,-216,-83,213,252,-115,419,135,-266,491,248,-610,-304,-543,-82,-1,-218,97,-155,-200,-64,-519,-356,-104,-15,-191,-165,-38
7,37,75,327,393,276,58,-534,-618,-141,-1046,215,-622,461,544,306,394,479,580,316,168,-199,176,402,552,143,273,287,759,451,-949,206,-79,676,646,683,-120,-147,111,-2635,38,760,-1189,210,338,-11,135,-123,-288,-58,182,86,-273,440,119,-192,641,277,-554,-284,-620,-89,0,-412,-72,22,-287,-94,-562,-306,-175,-97,-159,-256,-51
8,-1,-36,335,262,376,154,-551,-641,-212,-1176,88,-712,345,359,213,413,369,546,166,154,-189,217,308,597,382,255,513,1021,641,-943,134,-286,530,684,744,-114,-15,182,-2332,13,643,-1206,18,171,52,50,-59,-18,-95,206,243,-128,464,221,-231,507,279,-590,-255,-478,-164,-16,-286,6,-111,-210,-119,-659,-341,-154,-15,-225,-229,-64
9,109,-54,351,385,318,224,-492,-495,-103,-996,251,-638,364,526,271,193,416,595,4,185,-216,41,299,374,217,273,368,670,520,-952,230,-273,693,617,701,-194,-219,231,-2216,19,715,-1284,257,213,19,284,-73,-140,-45,243,111,-256,463,213,-281,258,288,-521,-220,-662,-48,18,-292,-59,-165,-102,-88,-615,-351,23,-22,-240,-185,-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
,33.6,-50.5,343.7,348.5,322.5,103.1,-531.7,-596,-109.9,-1101.1,170,-678.7,388.9,476.8,301.8,296.4,406.2,510.7,188.5,197.2,-194.8,173.6,264.5,468.9,199.8,227.2,417.4,731.1,554.3,-897.8,157,-133,693.4,650,663.9,-129.5,-151.1,241.5,-2390.9,27.5,723,-1228.4,196.1,223.6,-28.6,189.8,24.5,-204.2,-64.3,267.6,120.4,-136.6,469.6,116.2,-255.8,453.7,307.3,-550.7,-308.2,-593.9,-97.1,39.3,-283.3,-30.5,-119.7,-178.1,-95.8,-547.1,-344.1,-109.6,-10.5,-217.1,-271.3,-49.2
