County,heat2013,heat2060,dheat_dyear,rain2013,rain2060,drain_dyear,dry2013,dry2060,ddry_dyear,slr_county,slr_pct,median_house,median_house_norm,median_house_round
Alameda,15.7,41.5,0.54893617,0,2.8,0.059574468,322.2,285.9,-0.772340426,1,5.9,900,0.70754717,9
Allegheny,3.5,53.6,1.065957447,2.4,3.9,0.031914894,142.3,156.2,0.295744681,0,0,164,0.128930818,1
Allen,5.5,62.1,1.204255319,5.5,5,-0.010638298,181.4,180.4,-0.021276596,0,0,147,0.115566038,1
Arapahoe,39.3,80.8,0.882978723,1.3,1.3,0,231.1,244,0.274468085,0,0,408,0.320754717,4
Baltimore City,16.5,79.2,1.334042553,5.5,12.8,0.155319149,170,199.5,0.627659574,1,1.7,271,0.213050314,3
Bernalillo,38.1,93.7,1.182978723,1.1,0.8,-0.006382979,266.9,275.2,0.176595745,0,0,206,0.161949686,2
Bexar,111.3,170.2,1.253191489,6.3,5.2,-0.023404255,243.8,250.5,0.142553191,0,0,172,0.135220126,2
Clark,101.3,146,0.95106383,0.4,6.2,0.123404255,321.7,323.8,0.044680851,0,0,300,0.235849057,3
Collin,91.8,137.6,0.974468085,4.7,6.6,0.040425532,231.6,241.1,0.20212766,0,0,354,0.278301887,3
Cook,9.2,66.1,1.210638298,5.3,6,0.014893617,176.2,194.8,0.395744681,0,0,261,0.205188679,2
Cuyahoga,5.3,47.3,0.893617021,5.6,4.6,-0.021276596,156.2,160.1,0.082978723,0,0,141,0.110849057,1
Dallas,99.5,142.9,0.923404255,4.8,6.3,0.031914894,234.7,249.7,0.319148936,0,0,192,0.150943396,2
Dane,7.2,44,0.782978723,9.1,5.1,-0.085106383,181.5,195,0.287234043,0,0,286,0.224842767,3
Davidson,21.3,103.7,1.753191489,11.6,9.9,-0.036170213,172.4,192.7,0.431914894,0,0,278,0.218553459,3
Denver,40.1,71.5,0.668085106,3.4,16.4,0.276595745,224.5,239.9,0.327659574,0,0,440,0.34591195,4
District of Columbia,24.4,84.3,1.274468085,7.9,9.4,0.031914894,194.6,189.5,-0.108510638,0,0,644,0.506289308,6
Douglas,25.3,75.5,1.068085106,2.8,31.7,0.614893617,225.7,225.6,-0.00212766,0,0,182,0.143081761,2
Durham,14.2,100.2,1.829787234,7.5,7,-0.010638298,169.4,188.8,0.412765957,0,0,250,0.196540881,2
Duval,28.7,131.5,2.187234043,11.7,10.8,-0.019148936,164.4,198.7,0.729787234,1,7.8,207,0.162735849,2
El Paso CO,17.7,52.7,0.744680851,1.6,0.5,-0.023404255,221.7,240.6,0.40212766,0,0,308,0.242138365,3
El Paso TX,111.4,157.8,0.987234043,1.6,0.5,-0.0234,297.7,307.1,0.2,0,0,127,0.099842767,1
Erie,0.5,29,0.606382979,6.6,3.7,-0.061702128,138.2,139.1,0.019148936,0,0,168,0.132075472,1
Essex,15,54.4,0.838297872,4.7,10.8,0.129787234,189.1,185,-0.087234043,0,0,402,0.316037736,4
Fayette,7.9,78.4,1.5,12.3,7.3,-0.106382979,161.2,180.3,0.406382979,0,0,209,0.164308176,2
Franklin,6.8,69.1,1.325531915,5,4.2,-0.017021277,166.6,178.6,0.26,0,0,189,0.148584906,2
Fresno,67.6,92.4,0.527659574,0,5.3,0.112765957,308.5,292.8,-0.334042553,0,0,270,0.212264151,3
Fulton,70.3,77.7,0.157446809,17.5,54.3,0.782978723,171.1,182,0.231914894,0,0,343,0.269654088,3
Guilford,5.6,92.2,1.842553191,4.3,8.3,0.085106383,153.8,187.7,0.721276596,0,0,178,0.139937107,2
Hamilton,9.3,79.8,1.5,5.9,5.5,-0.008510638,158.7,182.4,0.504255319,0,0,164,0.128930818,1
Harris,95.9,147.6,1.1,10.8,44.9,0.725531915,213.6,220.3,0.142553191,1,0.3,187,0.147012579,2
Hennepin,6.6,46.3,0.844680851,4.4,33.5,0.619148936,191,208.8,0.378723404,0,0,300,0.235849057,3
Hillsborough,71.8,177,2.238297872,9.7,9.7,0,178.3,190.2,0.253191489,1,5.1,240,0.188679245,2
Hudson,15.9,53.3,0.795744681,8.3,12.1,0.080851064,227.5,202.1,-0.540425532,1,12.6,400,0.314465409,4
Jackson,27.1,91.6,1.372340426,4.5,7.3,0.059574468,218.9,218,-0.019148936,0,0,156,0.122641509,1
Jefferson,11.1,94.4,1.772340426,9.8,7.2,-0.055319149,170.8,182.5,0.24893617,0,0,187,0.147012579,2
Kern,86.1,118.9,0.69787234,0,0.9,0.019148936,329.9,314.6,-0.325531915,0,0,220,0.172955975,2
King,0.2,10.3,0.214893617,17.1,77.7,1.289361702,138.7,148.8,0.214893617,0,0,637,0.500786164,6
Lancaster,27.9,82.6,1.163829787,3,5,0.042553191,226,231.8,0.123404255,0,0,195,0.153301887,2
Los Angeles,54.1,85.7,0.672340426,0.4,4,0.076595745,327.1,317.9,-0.195744681,1,0.2,648,0.509433962,6
Lubbock,86.3,136.1,1.059574468,0.7,1.7,0.021276596,280.3,271.6,-0.185106383,0,0,145,0.113993711,1
Lucas,9.1,60.9,1.10212766,6.7,4.2,-0.053191489,198.1,189.5,-0.182978723,0,0,124,0.097484277,1
Maricopa,157.4,193.9,0.776595745,1.1,8.2,0.15106383,312.5,317.5,0.106382979,0,0,285,0.224056604,3
Marion,10.8,71.6,1.293617021,10.1,7.5,-0.055319149,195.1,186.5,-0.182978723,0,0,151,0.118710692,1
Mecklenburg,11.9,104.4,1.968085106,10.4,8.5,-0.040425532,175.7,195.4,0.419148936,0,0,257,0.202044025,2
Miami-Dade,59.9,181.2,2.580851064,10.8,8.4,-0.05106383,159.8,166.8,0.14893617,1,35.9,317,0.249213836,3
Milwaukee,7.7,45.3,0.8,7.1,5.6,-0.031914894,193.6,199.8,0.131914894,0,0,168,0.132075472,1
Multnomah,2.5,26.4,0.508510638,12.6,14.3,0.036170213,175.2,172.3,-0.061702128,0,0,425,0.334119497,4
New York,13.6,55.2,0.885106383,9.8,12.8,0.063829787,253.9,213.2,-0.865957447,1,4.8,1034,0.812893082,10
Nueces,135,171.4,0.774468085,3.9,28.7,0.527659574,262.2,270,0.165957447,0,0,145,0.113993711,1
Oklahoma,61.8,122.2,1.285106383,10.4,6,-0.093617021,237.8,247.8,0.212765957,0,0,159,0.125,1
Orange_CA,12.2,40.3,0.59787234,0,2.7,0.057446809,330.7,317.1,-0.289361702,1,3.2,748,0.588050314,7
Orange_FL,71.3,172.2,2.146808511,7.5,8.8,0.027659574,177.8,190.5,0.270212766,0,0,261,0.205188679,2
Orleans Parish,37,135.9,2.104255319,11.8,61.6,1.059574468,166.6,195.7,0.619148936,1,26.7,237,0.186320755,2
Philadelphia,18.1,71.7,1.140425532,9.8,10.8,0.021276596,191.8,186.2,-0.119148936,0,0,180,0.141509434,2
Pima,134.2,180,0.974468085,0.7,0.7,0,291.5,301.2,0.206382979,0,0,198,0.155660377,2
Pinellas,62.1,156.8,2.014893617,11.5,12.3,0.017021277,212.1,200.7,-0.242553191,1,18.4,221,0.173742138,2
Ramsey,7.9,49.3,0.880851064,3.6,4.9,0.027659574,164.4,172.4,0.170212766,0,0,252,0.198113208,2
Riverside,123.8,162.5,0.823404255,0.1,1,0.019148936,326.9,331.6,0.1,0,0,388,0.305031447,4
Sacramento,66.6,121,1.157446809,0,20.6,0.438297872,316.6,289.5,-0.576595745,0,0,388,0.305031447,4
San Diego,49.6,85.7,0.768085106,0.6,2.4,0.038297872,310.7,311,0.006382979,1,0.6,611,0.480345912,6
San Francisco,0,2.2,0.046808511,0,6,0.127659574,333.7,288.9,-0.953191489,1,2.9,1272,1,12
San Joaquin,75.8,79.5,0.078723404,0,1.2,0.025531915,327.4,293.3,-0.725531915,0,0,390,0.306603774,4
Santa Clara,11.2,73.7,1.329787234,0,5.3,0.112765957,324.5,286.6,-0.806382979,0,0,1112,0.874213836,11
Sedgwick,53.3,107.2,1.146808511,7.8,5.9,-0.040425532,234.9,249.3,0.306382979,0,0,151,0.118710692,1
Shelby,46,119.4,1.561702128,12.7,53.9,0.876595745,192.4,207.9,0.329787234,0,0,160,0.125786164,1
St. Louis City,42.7,98.2,1.180851064,5.9,6.7,0.017021277,195.9,205.1,0.195744681,0,0,209,0.164308176,2
Suffolk,16.2,40.9,0.525531915,8.6,10.6,0.042553191,193.6,185.9,-0.163829787,1,17.6,535,0.420597484,5
Tarrant,96.2,145.5,1.04893617,5.7,5.9,0.004255319,251.1,259.2,0.172340426,0,0,204,0.160377358,2
Travis,118.3,159.2,0.870212766,10.1,6.2,-0.082978723,235.7,259.5,0.506382979,0,0,347,0.272798742,3
Tulsa,54.1,116,1.317021277,5,7.9,0.061702128,219.9,236.3,0.34893617,0,0,163,0.128144654,1
Virginia Beach City,12.9,69.7,1.208510638,7.4,8.1,0.014893617,189.7,189.8,0.00212766,1,13.1,293,0.230345912,3
Wake,17.3,100.4,1.768085106,8.9,7.6,-0.027659574,171.3,187.4,0.342553191,0,0,298,0.23427673,3
Wayne,5.1,53.7,1.034042553,6,4.2,-0.038297872,170.9,184,0.278723404,0,0,127,0.099842767,1
Webb,146.6,209.1,1.329787234,3.4,4.3,0.019148936,260.4,285.2,0.527659574,0,0,139,0.10927673,1
