pct_u25,pct_25to44,pct_45to64,pct_65a
0.034105649,0.375951023,0.402263191,0.187680137
0.041910328,0.304870305,0.39451411,0.258705257
0.052093885,0.355938703,0.391478309,0.200489104
0.046783003,0.386159289,0.397535823,0.169521884
0.044902777,0.36696693,0.378517736,0.209612557
0.057198776,0.351979022,0.385642351,0.205179851
0.052224416,0.387510791,0.374568793,0.185696
0.039368615,0.388413341,0.37785364,0.194364404
0.035278445,0.43728775,0.397484746,0.12994906
0.033789798,0.380158121,0.377833123,0.208218958
0.03585755,0.310002694,0.405610355,0.248529401
0.05241212,0.425248039,0.367213386,0.155126455
0.085345586,0.385241229,0.361181166,0.16823202
0.05604004,0.415190169,0.360096594,0.168673197
0.062040298,0.458050355,0.315775231,0.164134116
0.049243502,0.438218996,0.32752637,0.185011132
0.058577262,0.389064076,0.370599238,0.181759423
0.065521766,0.424601891,0.350560768,0.159315576
0.048350393,0.365316095,0.39491443,0.191419082
0.06028122,0.373288784,0.39112973,0.175300267
0.047278077,0.381296146,0.376675157,0.194750619
0.038271533,0.304620257,0.405682464,0.251425745
0.024695098,0.365814167,0.405532596,0.20395814
0.092064446,0.387406409,0.348751847,0.171777298
0.063517654,0.40731163,0.364915278,0.164255437
0.049701357,0.376566107,0.377028477,0.196704059
0.048130826,0.436653956,0.359510462,0.155704756
0.052915816,0.36045973,0.380860518,0.205763935
0.050342468,0.336972499,0.397305391,0.215379642
0.047171034,0.42562874,0.381302912,0.145897313
0.047932212,0.387245643,0.380739845,0.1840823
0.047785038,0.372974923,0.383818475,0.195421564
0.032627371,0.457041517,0.344717581,0.165613532
0.050827671,0.359461599,0.383991604,0.205719126
0.044691203,0.346311047,0.393922153,0.215075597
0.049574766,0.381112621,0.388708471,0.180604142
0.043450959,0.399661852,0.381737739,0.175149451
0.105322075,0.364318752,0.348542569,0.181816604
0.03304376,0.37950856,0.39536055,0.19208713
0.129012035,0.346381451,0.332161821,0.192444694
0.05780428,0.328089118,0.39673556,0.217371042
0.049664701,0.375229063,0.365890147,0.209216088
0.060174076,0.391266191,0.369889911,0.178669822
0.047342571,0.445391053,0.359858081,0.147408294
0.025553391,0.345569188,0.400712051,0.228165371
0.060657944,0.379741701,0.366112892,0.193487463
0.046738075,0.415899902,0.365393101,0.171968922
0.039787175,0.418790207,0.333459206,0.207963412
0.061340435,0.334640681,0.391260138,0.212758746
0.062172298,0.369118884,0.367271835,0.201436983
0.028435619,0.348307203,0.412760469,0.210496709
0.061425239,0.400940379,0.376791169,0.160843214
0.050735185,0.378414803,0.393313926,0.177536085
0.04762619,0.376099321,0.365382394,0.210892095
0.063469786,0.303652475,0.375368776,0.257508964
0.025456302,0.25181724,0.401572784,0.321153674
0.058574941,0.36133791,0.381445507,0.198641642
0.030511869,0.348987915,0.392318457,0.22818176
0.046517788,0.369837775,0.389629246,0.194015192
0.046450339,0.372857723,0.383325143,0.197366795
0.039520015,0.422416489,0.338199013,0.199864483
0.040275929,0.360140655,0.402017044,0.197566373
0.025537557,0.390689179,0.398100027,0.185673237
0.060331896,0.356188133,0.387991757,0.195488214
0.044312217,0.364735952,0.408137006,0.182814824
0.033499218,0.312809793,0.410870013,0.242820976
0.07665834,0.425034693,0.319726617,0.17858035
0.051341749,0.404151054,0.385537548,0.158969648
0.078567336,0.466851674,0.335088716,0.119492274
0.058690036,0.363375566,0.376491743,0.201442655
0.047276651,0.388271171,0.381966001,0.182486177
0.045828349,0.42976591,0.377678723,0.146727018
0.030914161,0.322684344,0.415979743,0.230421752
0.042109482,0.436056522,0.361737814,0.160096182
