u25,25to44,45to64,65a
18590,204920,219262,102299
22045,160363,207516,136080
7200,49195,54107,27710
10552,87099,89665,38236
10842,88606,91395,50612
15051,92618,101476,53990
31580,234327,226501,112290
27954,275796,268298,138010
10222,126705,115172,37653
65327,734973,730478,402557
19165,165689,216789,132833
44987,365004,315191,133150
17665,79738,74758,34821
14388,106598,92453,43306
16507,121873,84018,43671
12983,115536,86352,48778
11963,79457,75686,37120
7291,47248,39009,17728
15999,120882,130676,63340
12083,97449,96268,49773
14549,115802,154221,95580
6848,101441,112455,56558
11337,47706,42946,21153
29745,190742,170888,76920
14404,109133,109267,57007
17721,160769,132366,57328
10396,70817,74825,40425
16508,110498,130282,70626
67676,610647,547053,209318
23068,186367,183236,88592
22523,175798,180909,92110
7957,111461,84068,40389
13802,97610,104271,55862
13668,105913,120474,65777
12655,97287,99226,46103
34874,320771,306385,140576
12137,41983,40165,20952
106744,1225958,1277166,620515
13582,36466,34969,20260
10295,58433,70659,38714
70113,529721,516537,295356
21667,140884,133187,64334
17360,163320,131956,54053
21159,286142,331802,188928
23028,144164,138990,73455
14299,127240,111788,52612
29291,308310,245490,153101
7601,41467,48483,26364
17739,105317,104790,57474
28308,346744,410908,209552
21159,286142,331802,188928
7529,56156,58367,26346
27624,218144,211928,122321
24375,116615,144157,98894
10226,101157,161315,129010
12031,74217,78347,40800
20844,238409,268010,155881
24061,191296,201533,100353
50003,401375,412643,212462
13648,145879,116795,69022
8682,77633,86660,42588
15562,238077,242593,113145
11623,68620,74747,37661
15222,125293,140202,62800
13510,126154,165701,97928
22096,122512,92158,51474
33872,266633,254353,104878
32360,192285,138015,49216
14198,87906,91079,48732
7798,64043,63003,30100
15977,149828,131669,51153
20743,216517,279117,154610
2837,29378,24371,10786
